Edizione_Olimpiadi,ID_Edizione,Anno,Nazione,Codice_NOC,Medaglie_Oro,Medaglie_Argento,Medaglie_Bronzo,Totale_Medaglie,Paese_Ospitante,Citta_Ospitante,Precipitazioni_Medie_mm,Superficie_Totale_km2,Investimenti_Diretti_Esteri_perc_PIL,Densita_Popolazione,Inflazione_Prezzi_Consumo,Spesa_Militare_Valuta_Locale,Spesa_Militare_perc_PIL,Spesa_Pubblica_Consumi_USD,Spesa_Nazionale_Lorda_Valuta_Locale,Interscambio_Commerciale_perc_PIL,Valore_Aggiunto_Industria_perc_PIL,Valore_Aggiunto_Servizi_Valuta_Locale,Valore_Aggiunto_Servizi_perc_PIL,Inflazione_Deflatore_PIL,PIL_Assoluto_USD,PIL_Valuta_Locale,Crescita_PIL_perc_annua,PIL_Pro_Capite_USD,RNL_Valuta_Locale,RNL_Pro_Capite_USD,Iscrizioni_Scuola_Primaria_perc,Tasso_Mortalita_Neonatale,Tasso_Mortalita_Infantile,Aspettativa_di_Vita,Popolazione_Eta_Lavorativa_perc,Crescita_Demografica_perc,Popolazione_Totale,Popolazione_Urbana,Tasso_Urbanizzazione_perc
1964 Summer Olympics,16.0,1964.0,Brazil,BRA,0.0,0.0,1.0,1.0,JPN,Tokyo,1775.0,8515770.0,,9.19801953544688,,6.15e-05,2.425680852384337,2415711001.39051,0.00254525875,13.208425718340072,0.0,0.0,0.0,54.4282309596308,19206466679.626923,0.0026057636499999,5.266666666666708,252.80006626486227,0.002534721575,260.0,,49.2,122.5,53.80625,53.06649626141795,2.9827446042980337,75755782.75,34789391.0,45.89320288306817
1964 Summer Olympics,16.0,1964.0,Ghana,GHA,0.0,0.0,1.0,1.0,JPN,Tokyo,1187.0,238540.0,,32.25038235035597,,1915.375,1.9567537718359225,145325227.10396975,103900.0,56.88456904568775,,,,4.05221625957702,1360804415.7253675,97150.0,3.981602273440983,187.54682651416675,95850.0,190.0,,,120.575,47.22,50.79661642271103,2.55029790617971,7243992.75,1760992.5,24.288478924955097
1964 Summer Olympics,16.0,1964.0,Ireland,IRL,0.0,0.0,1.0,1.0,JPN,Tokyo,1118.0,70280.0,,41.19175497169403,2.481296084061851,12781250.0,1.2958914844124476,,,,,,,3.3585335629720667,2246192382.8879724,1018598982.402908,4.325749254087763,791.9757678670898,1094158090.9964004,895.0,,19.700000000000003,28.7,70.02342682926827,57.8700849812889,0.2822165739541073,2835425.0,1298780.25,45.802866142628574
1964 Summer Olympics,16.0,1964.0,Kenya,KEN,0.0,0.0,1.0,1.0,JPN,Tokyo,630.0,580370.0,,14.592220426140033,1.8789909913345544,10750000.0,0.181030344262768,97271961.09121557,,62.9429119902328,15.85890776443935,,,2.267722705747472,844731420.6074317,6033798275.0,3.487021351072184,103.52255627173054,5855724050.0,105.0,,46.325,106.4,49.66725,47.809340832684974,3.813290161337073,8152589.0,696148.0,8.529721130498725
1964 Summer Olympics,16.0,1964.0,Mexico,MEX,0.0,0.0,1.0,1.0,JPN,Tokyo,758.0,1964380.0,,20.1382722463712,2.082329436615811,1192500.0,0.6834074973307955,900758000.0,185795700.0,19.0371277718349,,,,3.063506515853037,14840000000.0,185500000.0,5.923767200288499,384.199046323709,180581550.0,385.0,,48.925,101.65,54.638250000000006,50.24417798447165,3.1992679086993903,38541999.5,20054362.0,51.998973872186
1964 Summer Olympics,16.0,1964.0,Nigeria,NGR,0.0,0.0,1.0,1.0,JPN,Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964 Summer Olympics,16.0,1964.0,Uruguay,URU,0.0,0.0,1.0,1.0,JPN,Tokyo,1300.0,176220.0,,14.815655353673868,23.35335537145228,,,172120978.796438,19025.0,27.79964911773955,,,,16.772072596413267,1509840979.6614623,18700.0,0.3629826412558077,585.3032955248619,18600.0,595.0,,,54.925,67.85675,64.08499210035046,1.2136127909506935,2577266.25,2074006.25,80.4700575667775
1968 Summer Olympics,17.0,1968.0,United States,USA,45.0,28.0,34.0,107.0,MEX,Ciudad de México,715.0,9629090.0,,21.330587752321225,2.1629854569850053,63208828022.3087,8.372906125362714,,,,,,,2.368455847624217,774675568965.5173,774675568965.5173,5.300000000000077,3961.46758194154,775988642289.5685,3982.5,,,23.0,70.28841463414635,60.191661489047874,1.22074802471374,195366000.0,141549336.5,72.44789580228561
1968 Summer Olympics,17.0,1968.0,Soviet Union,RUS,29.0,32.0,30.0,91.0,MEX,Ciudad de México,,17098240.0,,,,,,,,,,,,,,,,,,,,,26.35,68.5584329268293,64.07109788751131,0.8400352458050808,126938500.0,74645535.25,58.79703521728515
1968 Summer Olympics,17.0,1968.0,Japan,JPN,11.0,7.0,7.0,25.0,MEX,Ciudad de México,1668.0,377800.0,,268.3290155440412,4.87176513583892,315981250000.0,0.8726028589818612,,,,,,,5.232955597836336,107587774207.40295,38731598714665.05,9.804279988309068,1091.642344842671,38340122411448.97,1055.0,,,18.45,70.71384146341465,68.80797919295901,1.01633678644105,98396250.0,67201054.25,68.28591888428414
1968 Summer Olympics,17.0,1968.0,Hungary,HUN,10.0,10.0,12.0,32.0,MEX,Ciudad de México,589.0,93030.0,,112.934081706324,,7297500000.0,,,,,,,,-6.580045699391812,,241268034914.388,15.50260356679501,,242843204188.41776,,,27.775,39.425,69.42042682926828,66.39142918525377,0.316822376124525,10165756.75,5525768.5,54.35592807765865
1968 Summer Olympics,17.0,1968.0,East Germany,GDR,9.0,9.0,7.0,25.0,MEX,Ciudad de México,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968 Summer Olympics,17.0,1968.0,France,FRA,7.0,3.0,5.0,15.0,MEX,Ciudad de México,867.0,549086.0,,92.91847342053993,2.827018530594456,3368585840.298507,4.380229750406925,16938486199.422348,78638825000.0,27.61103785425545,30.10060632419225,39723925000.0,50.005863035241376,3.29558696245359,105436803555.45132,79357000000.0,5.34671762938516,2103.833428031555,79921000000.0,2102.5,,15.225,18.225,70.89939024390243,62.27542658039898,0.9264199388022208,50078411.25,33924745.75,67.73004201828701
1968 Summer Olympics,17.0,1968.0,Czechoslovakia,TCH,7.0,2.0,4.0,13.0,MEX,Ciudad de México,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968 Summer Olympics,17.0,1968.0,West Germany,FRG,5.0,11.0,10.0,26.0,MEX,Ciudad de México,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968 Summer Olympics,17.0,1968.0,Australia,AUS,5.0,7.0,5.0,17.0,MEX,Ciudad de México,534.0,7741220.0,,1.4971102404227876,3.2608705154661224,809750000.0,3.2114206573781447,3294760527.161685,24445500000.0,27.9189408578478,,,,3.4529929441737046,26921724307.4759,24037250000.0,5.410752562799475,2337.5323448237923,23993250000.0,2320.0,,,18.5,70.855,61.95263169868105,1.8668831463818096,11501250.0,9559524.75,83.1099131629255
1968 Summer Olympics,17.0,1968.0,Great Britain,GBR,5.0,5.0,3.0,13.0,MEX,Ciudad de México,1220.0,243610.0,,225.209926424999,3.61177372442705,2353291293.51403,6.37944377384126,18634385623.583,,,,,,4.16318884249149,104480488435.74614,37454750000.0,3.0170828801258724,1916.84623316143,42534826689.763374,2150.0,,13.525,19.925,71.73658536585361,64.23274672080503,0.595643386801958,54485037.5,42229675.75,77.5082556107751
1968 Summer Olympics,17.0,1968.0,Poland,POL,5.0,2.0,11.0,18.0,MEX,Ciudad de México,600.0,312690.0,,103.04985063175424,,2297500.0,,,,,,,,,,,,,,,,,39.575,69.32743902439023,62.3043946462766,1.0170239566543875,31563138.75,15904299.25,50.385134084721024
1968 Summer Olympics,17.0,1968.0,Romania,ROU,4.0,6.0,5.0,15.0,MEX,Ciudad de México,637.0,238390.0,,83.2469327949987,,627450.0,,,,,,,,,,,,,,,,,48.525,67.9915,66.41187530206075,0.9606606002561532,19175098.5,7311838.25,38.12181931394973
1968 Summer Olympics,17.0,1968.0,Italy,ITA,3.0,4.0,9.0,16.0,MEX,Ciudad de México,832.0,301340.0,,177.83074359933374,4.127879523622963,576173025.0,2.807850745346535,,,,,,,3.92362584998432,74365556081.56735,24004127390.565376,4.807283172378902,1420.811182354385,24197819903.9281,1410.0,,22.45,35.175,70.59152439024393,65.27365213367122,0.791453724202432,52301800.0,32558010.25,62.24487248341632
1968 Summer Olympics,17.0,1968.0,Kenya,KEN,3.0,4.0,2.0,9.0,MEX,Ciudad de México,630.0,580370.0,,16.75356063534455,2.5632037875882787,80025000.0,1.0046211546813324,155119937.952025,7746999600.0,61.4541494252864,16.47161923712835,,,1.1883385652371148,1098439459.124217,7845999275.0,6.26583997340654,114.97544115796325,7616149475.0,115.0,,41.775,95.0,52.097,47.068494895996025,3.965505253661062,9535121.5,877286.5,9.193159926780588
1968 Summer Olympics,17.0,1968.0,Mexico,MEX,3.0,3.0,3.0,9.0,MEX,Ciudad de México,758.0,1964380.0,,22.5964196609995,3.2846696705447025,1572500.0,0.5975931975566757,1496156000.0,289155800.0,16.7513710792652,26.286382490633432,173144333.33333334,57.143044213677534,3.870439273282473,23200000000.0,290000000.0,7.739136236199594,526.815881416107,282751550.0,505.0,,45.150000000000006,91.8,56.9795,49.89369770068771,3.30074309664537,43926310.0,24337910.0,55.37149070126553
1968 Summer Olympics,17.0,1968.0,Yugoslavia,YUG,3.0,3.0,2.0,8.0,MEX,Ciudad de México,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968 Summer Olympics,17.0,1968.0,Netherlands,NED,3.0,3.0,1.0,7.0,MEX,Ciudad de México,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968 Summer Olympics,17.0,1968.0,Bulgaria,BUL,2.0,4.0,3.0,9.0,MEX,Ciudad de México,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968 Summer Olympics,17.0,1968.0,Islamic Republic of Iran,IRI,2.0,1.0,2.0,5.0,MEX,Ciudad de México,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968 Summer Olympics,17.0,1968.0,Sweden,SWE,2.0,1.0,1.0,4.0,MEX,Ciudad de México,624.0,447420.11,,19.06942473321408,4.773640272684823,4438750000.0,3.812073402125992,4526481787.552916,139787350250.0,39.60160449801127,,,,5.487473277720118,26069758959.322098,134864341500.0,4.024726239854288,3353.252711357315,133156860130.98747,3222.5,,10.675,13.45,73.94896341463418,66.26149131529024,0.8519392975104098,7767733.75,6025916.25,77.56610726973526
1968 Summer Olympics,17.0,1968.0,Türkiye,TUR,2.0,0.0,0.0,2.0,MEX,Ciudad de México,593.0,785350.0,,42.590720541039175,7.030515165734788,3964.0,3.345109849678577,1330555555.555555,88475.0,9.68443629689454,19.320461304925523,36825.0,30.86195084856555,4.589443345016107,13222222222.222223,119000.0,6.056977905276955,402.1916506266825,140200.0,450.0,,58.325,155.375,54.3645,52.722051234161,2.567645609983485,32779096.25,8481551.5,25.85252089855895
1968 Summer Olympics,17.0,1968.0,Denmark,DEN,1.0,4.0,3.0,8.0,MEX,Ciudad de México,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968 Summer Olympics,17.0,1968.0,Canada,CAN,1.0,3.0,1.0,5.0,MEX,Ciudad de México,537.0,15640500.0,,2.215777210423408,2.9101033098353373,1784937500.0,2.940883171833728,9712874623.192934,62868750000.0,37.83140571815753,,,,3.995473657882332,57815603535.8868,62333712333.12398,5.699577740585802,2905.12311989063,61710163128.70819,2842.5,,,22.625000000000004,71.96518292682924,59.2878610030792,1.8395129540463304,19865750.0,14555334.5,73.25224011910393
1968 Summer Olympics,17.0,1968.0,Finland,FIN,1.0,2.0,1.0,4.0,MEX,Ciudad de México,536.0,338150.0,,15.01927837420795,6.116971165410873,80800000.0,1.7465214702280774,,,,,,,6.0712415818546805,8825949040.029709,4849663261.759336,3.770799074582945,1928.72992208156,4770984071.558025,1865.0,,12.725,16.25,69.33560975609757,64.95067615711721,0.45151036311601,4574722.0,2676359.5,58.501065179212574
1968 Summer Olympics,17.0,1968.0,Ethiopia,ETH,1.0,1.0,0.0,2.0,MEX,Ciudad de México,,1221900.0,,,-0.2765946018071959,99662500.0,2.9362359457669376,,,,,,,2.5315171264443688,2232589048.9,5581472622.25,5.295150886090105,90.48207894232384,5568047726.25,90.0,,,143.05,40.98950000000001,54.551962153389375,2.6411820700154527,24637531.25,1942432.25,7.879205358743173
1968 Summer Olympics,17.0,1968.0,Norway,NOR,1.0,1.0,0.0,2.0,MEX,Ciudad de México,1414.0,385178.0,,10.236347482778624,4.471018232023065,1877750000.0,3.3994057871589347,,,,,,,4.109706178956555,8412447925.776322,60351572232.9217,5.084463012107233,2248.159875000737,59634592029.70263,2180.0,,11.225,15.7,73.84524390243902,63.1802110498124,0.7919115759407355,3738764.5,2133656.5,57.0453508211303
